text,pos,neg,distance
아 조걸이 그냥 조걸이다 하는것도 아니고 조걸이외다 하는거 성격보여서 좋다ㅋㅋㅋ,0,0,0
189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!189!,1,0,1
쉣 주마등만은 안나오게 햐주세요 하나님 아멘,0,0,0
차가운 청년,1,0,1
"회종지회 때 청명:""다음 나와ㅏ앙앜!!!!!!!"" 당잔과 나올 때 조걸: ""다음!"" 그나마 조걸이 차분(?)하네...청명아 네가 뭐라할 때가 아닌 곳 같은ㄷ",0,0,0
쟤 눈돌아갔어요!!!,2,0,2
우리 조걸이가 달라졌어요,0,0,0
청명이한테 배운 건 있어 가지고 건방지게 다음! 이러네 ㅋㅋㅋ,0,0,0
이번화 너무 다음화가 궁금하게 만드잖아?.,1,0,1
제 생일선물로 5화만 더 주시면 인생 다 산겁니다,0,0,0
조걸 잘생겼어요조걸 최고예요 조걸 믿어요 조걸 멋져요,1,0,1
차갑게 더 차갑게말을 해봐 날 떠날 수 있다고 그 말은 미스 미스 오 미스테이크 에브리바디 갓 잇 랄랄랄라 틱 틱 톡 톡 눈물이 떨어져 디기디기 밥 밥 투 더 사운드,0,0,0
청명은 못하지 않을까? 아무래도 지 친구 손자를 패 죽일... 사람이지.,0,0,0
아버지 저에게 힘을주세요!!!!!!!!!!!,0,0,0
눈동자가 점인데 눈빛이 마음에 안들어?,1,0,1
ㅋㅋ 대으음~~~ ㅋㅋ당잔의 마지막 멋있는 모습인가..ㅋㅋ,0,0,0
잠깐만요 지나갈게요,0,0,0
다음... 걸아 청명이 보면서 한번쯤 해보고 싶었구나?,0,0,0
daauuuuuuuuuuuuuum,1,0,1
너 눈을 왜 그렇게 떠,1,0,1
이야 진행 엄청 느리네... 이래가지고 5~6년 돼야 무술대회 열겠다...,1,0,1
앉아!!!잘했어 ㅇㄴㅇㅅ(?),0,0,0
여기가 소설의 7분의 1정도 분량인데..이렇게 진도 나가서 언제 완결나 ㅜㅜㅜㅜ,0,0,0
나중에 친해져서 그렇지 진짜 당문 싸패들 ㅋㅋㅋ,0,0,0
검룡하고 싸움게 몇화 입니까?,0,0,0
솔직히 당가는 옷만 홀라당 벗겨도 전력의 9할은 날아갈듯,2,0,2
진짜 질질 끄는거 ㅈ같네,2,0,2
웃어?,0,0,0
와 소름돋음 연출ㅜㅜ,1,0,1
와 연출 대박,1,0,1
자부=칠성 =성육=규chon=bhc=chb,0,0,0
방탄 관심없음,0,0,0
내가생각하는 내선택지는 본가갈래vs본가안가고다른일할래 거든,0,0,0
아니그니깐 방탄vs디오 거리고있는데,0,0,0
아니 제작진님 혹시 드라마 감독 출신이세요?여기서 끊어버리면..,1,0,1
전개가 너무 느리누,3,1,2
?여기서 끊으시면^^ 슬퍼요.... . . .흡..흑ㄱ흡...여름이였ㄷr..,1,0,1
아니 그다음은...? 아니 제발요 제가 몰입해서 죄송해요 아아아 1편만 더,0,0,0
아니~~~청명이랑 싸웠는데 맨날 ~~~쟤정도는 껌이지,0,0,0
가슴 클로즈업이 몇번이야 ㅋㅋㅋㅋㅋㅋ,0,0,0
입술 개하얗네,0,0,0
백천 얼굴 보는 맛,1,1,0
왜 ㅉ따 같냐,1,2,-1
여기서...여기서 끊으시면 어떡해요ㅜㅠㅠㅠ,0,0,0
마지막 눈알 부라리는거 봐라 저거,0,0,0
어중이떠중이 한명제끼는데 한화나가면 도대체 이만화는 언제끝남?,0,0,0
"8 , 128",0,0,0
내가 기대했던건 청명이가 당잔 보면서 많이 닮았구나... 하면서 당보와의 회상 싹 돌아보는 씬인데...,0,1,-1
내놔,0,0,0
다음화 언제나오냐,0,0,0
눈을 왜그렇게 떠?,0,0,0
아니 여기서 끊으시면,293,3,290
저거 피할 수 있냐,0,0,0
이니 얼굴에 홀려,0,0,0
대으음ㅋㅋ,0,0,0
TMI)당화를 원콤내는 조걸보다 훨씬 강한 청명의 전투력은 사파에게 발리는 수준이다.,0,1,-1
잘봤습니다,0,0,0
진짜 각색 좀 적극적으로 해줬으면 좋겠음지금 원작이 저만치 가서 웹툰은 완결절대 안날거같은데 선택과 집중을 해야하지 않겠음? 곁가지는 제발 다 쳐내라 그랬으면 진도 10화는 더 갔을듯,5,2,3
앜 저기서 끝나면 어떡해,1,1,0
그냥 암기 던지는게 무공임? 암살자지?,1,15,-14
그는 좋은 전투력측정기엿습니다,1,16,-15
777,0,16,-16
여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서 끊어? 여기서 끊어? 여기서 끊어? 여기서 끊어?여기서?,12,2,10
막컷 표정ㄷㄷ,0,0,0
역시 사천다음가,0,0,0
차가운 윤조걸사형ㄷㄷ,1,0,1
"주일 만이네요. '화산' 큰 상을 차리나봐 독자들 싸울까봐 친히 나눠주시잖아. 이제 나는 다 커서 먹는 것만 봐도 배 부르니까 내 어린 동생들 쿠키나 줘요. 쌍팔년도 8월 18일 넷 팔자 나를 따라가다 주름만 져갈 네 팔자, 내 나인 2와 7을 더해 내추럴해. 난 무대 위에 플레이어니 넌 백워드해"" ""쇼 미 더 쿠키(Shom Me The Cookie). 전독시와 외지주도 귀엽기만 해. 올해가 또 지나가고 새해가 또 찾아온다. 나눠줄게. Cookie. 옛다 쿠키""",0,1,-1
당당 호로로로로당당 화로로로로 비도가 단짠 단짠 습~ 하,1,1,0
마이크로 라섹!!!,0,0,0
너희는!!! 살아있는게!! 팬! 써비스야!!!!,0,0,0
여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?여기서 끊어?,0,16,-16
다음 외칠때 쾌감지리고 멋있긴했는데 놀림당할 거 같더라 ㅋㅋㅋㅋㅋㅋㅋ,3,15,-12
청명이 비꼬는 거 진짜 ㅋㅋㅋㅋㅋ,1,0,1
마지막 한 컷 은 쿠키를 구울 틈 조차 없었,1,0,1
지금까지 조걸을 사랑해주셔서 감사합니다.,1,0,1
같은 대사 다른 느낌,0,0,0
다음화.,0,0,0
웃지말라거~,0,0,0
웃어??,0,2,-2
뭔가 화종지회때 청명이가 다음하는거 비슷하다,0,2,-2
소중한 눈빛을 가진 청명이,2,1,1
가슴을 차갑게 해야돼서 까고 있는 거였구나?!,2,2,0
👍,0,1,-1
눈빛이 아름다운 청명,2,0,2
청명에게 맞는것 그보단 났겠지,1,0,1
조걸아!!!,0,1,-1
마지막 눈빛만 봐도 넌 젔다,1,2,-1
멋들어진 청년,3,0,3
저저 보세요. 화정검 백천 또 오만 똥폼 잡으면서 이 화의 주인공인 것 처럼 연기하고 있네.저 겉멋 언제 빠지냐고,2,4,-2
막컷은 타인은 지옥이다 왕눈이 아니냐,0,2,-2
차가운 청년,0,0,0
ㅋㅋ 청명이 쫄리네,1,0,1
뭘 쳐 웃어.,0,2,-2
걸이.. 이겨도 청명이한테 죽을지도..,0,2,-2
조걸이가 청명이 다 된듯...,0,1,-1
당가는 비무할때 자꾸 눈깔에 비수 던져대면 독때문에 죽이는게 아니라 눈깔에 칼박혀 죽이겠다... 비수 던지는 애들이 안전장치도 없이... 사실상 사파네,0,2,-2
아놔~ 승질 하나도 안나네,0,15,-15
"청명이가 막을거 같은 느낌아니면 조걸이 피할수도..,",2,15,-13
내 느낌이지만 소설도 그렇고 화귀에서 열혈강호가 보인다,0,16,-16
"아닝 왜 이러케 이렇게 빨리 끝낭,,,, 작가 타이밍 잘 맞추네,,,,,,",1,3,-2
사람이 죽으면 먼저 가 있던 비도가 마중나온다는 얘기가 있다. 나는 이 이야기를 무척 좋아한다.,3,0,3
아 빨리 미리보기 더내라고!!!,0,0,0
청명이 따라하면 안돼용,0,1,-1
사천 도라에몽,2,3,-1
조걸 ~. 그냥 !!! 막!! 화악 !!,1,1,0
개노잼이고 ㅅㅂ,0,6,-6
쟤 뱀같음,0,0,0
조걸은 좋은 아이야,0,0,0
-그는 좋은 조걸이었습니다-,2,0,2
애들 눈동자가 넘 작아요 ㅠ,3,0,3
재미 있습니다 액션이나 인물들 표정변화 같은 부분을 상세히 그려내주는 것도 좋습니다...근데 씹 안그래도 되는 부분도 있잖아 몇년을 처해먹으려고 이리도 진행이 안되는건데 답답해서 원작 보고왔는데 더 답답하네,36,14,22
좀 쳐싸우라니까 서로 지들이 대신 싸우겠다고 몇화를 끄는거냐 하...,5,2,3
당씨 다 잘생긴 줄 알았는데 그냥 당잔이 특별한 거였네,163,1,162
당진 뭘쪼개;;,0,0,0
이게 소설에서 몇 편 정도 일까요??,0,0,0
당분간 하차요,2,3,-1
나노. 패턴을 분석해.,1037,54,983
밑댓 머라는건지 아는사람!,0,0,0
네네 계좌부터 바꾸시고요~,0,17,-17
나노패턴을 분석해,8,19,-11
전부 다 강퇴해 리딩방 본방에 있는 사람들그게 오히려 덜 손해일거다,7,19,-12
급하니 입으로 무나?,0,0,0
암만 계속해봐라ㅋㅋ 그대로 숨어서 쌓아뒀다가 농사 자체를 망치게 해주께ㅋㅋ 나이도 먹을만큼 먹은애가 자존심 때문에 사업을 버리네,20,24,-4
진도 좀 쳐 빼라니까 댓글 삭체 쳐하고 있네 ㅂ신련들이,1,2,-1
얼씨구나 하고 '잠입한게 저입니다' 하면서 튀어나와달아고? OOO ㅋㅋ,0,14,-14
ㅇㅋ뭐 이렇게 계속 건드리면 본방에서 나 솎아낼 수 있을 줄 알지? 단순한 새ㅋㅋㅋ끼,7,17,-10
나노 패턴을 분석해,8,19,-11
은근슬쩍 쳐내려라 자꾸? 티 안나는 줄 알지?결정적 순간에 모은 리딩방 회원 다 날리고 싶으면 계속해봐 한번,6,12,-6
나노패턴을 분석해,13,21,-8
오우야 너무 사악하게 생겼다,0,0,0
기슬 한개도 다 안보여주는대 1화를 잡아먹다니,2,0,2
곧 당군악 등장 하겠구만 쿠오오~!,0,0,0
웃음이 좀 무섭네? 천하의 당주 납셨어 ㅇㅇ,0,0,0
당잔이 둘째 아님? 장남 이름이 뭐였더라?,0,0,0
129화 빨리좀,1,0,1
멍청하구만,0,0,0
아 진도 너무느린데..,3,0,3
7일동안 날아오는데 뭐가 빠르노,0,0,0
아니 왜 벌써 올라오놐ㅋㅋㅋㅋㅋㅋㅋ,0,0,0
OOOOOOOOOOOO!!!! 잔아!!!!!,0,0,0
오우 일격장면 다시보니까 청명이 진검들었을때 칠성보네,0,0,0
조걸:다음조걸 마음 속:캬~나도 이거 청명이가 할때 해보고 싶었다고~,0,0,0
조걸이 다음 한 거 예전에 청명이가 했던 말인데ㅋㅋ,0,0,0
저저 사마귀 새끠 눈깔을 똑 뽑아버릴라,0,0,0
다음화 쿠키를 구워 말어,0,2,-2
조금 봤는데 왜 반이나 지나있지,0,1,-1
우리 걸이 살려줘요??,0,1,-1
돌아보지말아야지. . 돌아보지말아야지. . 아무렴~ 돌아보믄 안되징~~^^,0,0,0
카무이!,0,0,0
조걸이 특징이 겁내 빠르다는건데 상대 잘못 만났다 차라리 백천을 상대하는게 낫지ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
이거 소설 몇화임,0,0,0
조걸은 차갑다.,0,0,0
이전투씬조끔을이미봐버렸는데다음주어떻게기다리는데하진자;,0,0,0
다음화:주마등,0,0,0
나노. 패턴을 분석해,2,0,2
아 궁금해~ 이정도로 궁금한적이 있었을까? 아~~~~~ 보고싶다 다음편이~~,0,0,0
신성한 탑에 원거리를 가져와?,0,0,0
하 미리보기 내용 ㅈㄴ 없네 전개 느려서 완결까지 몇년은 걸릴듯,2,2,0
"조(로)걸, 내 동료가 돼라~!",0,0,0
조걸 죽.다.,0,0,0
약간 전개가 느린거 같은데,3,0,3
북두칠성 빛나는 밤에 하늘을 봐 황금별이 떨어질거야,0,0,0
조걸 복근 왜 섹시해 보이냐…..,0,0,0
지난화랑 비교해서 스토리 진도 나간게 없네오래오래 하던거 해서 돈 벌고 싶은건 알겠는데 결국 그게 독이 될 듯,4,0,4
아~ 여기서 쿠키를 쓰면 앞으로 계속 써야 하거늘 ....,0,0,0
사천당가 가주이름은 당과 입니다.,0,1,-1
화산은 차갑다... -윤 루카스-,0,0,0
아 수요일 기다리는 맛이 이런 맛이었구나..,1,1,0
올리브 같은 눈동자넹,0,0,0
ㅋㅋㅋㅋ소설에선 다음 이거 나도 해보고싶었어 하는 조걸생각 있는데 이건 스킵됐네 ㅋㅋㅋㅋ,0,0,0
청명이 날아오는 비도 잡고 이쑤시고 있는거아니야?!,1,13,-12
소설이 나는 개인적으로 훨씬 재미있게 봤음,25,15,10
스포를 알고 싶으면 소설을 봐야함~ ㅋㅋ,16,10,6
당다라당당~ 당~당~당당당~ 머릿속에 맴도노,15,8,7
잔인한 놈들 눈만 노리네,3,8,-5
분량 이거 맞나?,2,1,1
분량이 소설한편이랑 비슷한거같은데... 소설이야 글로 다 표현해야하니 디테일하고 구구절절히 설명한다쳐도 웹툰 속도가 이정도라는건 좀 선넘음... 살아생전에 완결 못볼듯...,4,3,1
조걸귀환,0,0,0
능력 측정기 없었으면 방심해서 졌을듯..첨부터 전력을 다하네,0,0,0
어렸을적 봤던 열강 이후 최고다적지않은 분령인데 한컷 한컷 내릴때마다 다음화 보일까 조마조마...,0,0,0
아니 마지막 표정 ㅈㄴ 체셔고양이 같은데...,0,0,0
일일드라마 처럼 질질질,2,1,1
아 또 일주일 기다려야 되네 빡세다..,1,0,1
조걸 진짜 눈알 뒈지나요? ㅠㅠㅠㅠ 이것만 저에게 스포를...,0,0,0
엄청 질질 끄네,7,4,3
여기서 짜르네,1,1,0
할배 육아툰....,0,0,0
다음화???: 켁..케켁.. 다시는.. 넘어오지 않..겠..,0,1,-1
조걸은 그렇게 눈멀이 될뻔했다.,0,1,-1
보자마자 끝났네....,2,0,2
진짜 재미있습니다 캬~~~~~~~~~~,0,1,-1
개멋있다 화산,0,1,-1
와 독뱀이다 독뱀,1,0,1
대음!,0,0,0
잘생겼누,1,0,1
와 진짜 작가 최악이다 ㅋㅋㅋㅋㅋㅋ 소설이랑 1:1비율로 웹툰 만들고있네 .. 작가 역량부족인지 돈에미친건지ㅋㅋㅋㅋ 이 속도면 그림작가 10번은 바뀌고도 완결안나겠네 그냥 포기하고 다른작가한테 넘기면 소원이없겠다 원작때문에 쿠키구워서 봤는데 너는이제 뉴토끼행 이다 ㅋㅋㅋㅋ,9,16,-7
질질질질스킵할건 스킵해라 잼민이들아,4,2,2
당....규영,0,0,0
당화가 딩했으니 담화를 내놓으시오,2,0,2
청명이였으면 눈에 맞아도 튕겨나갔을 것 같아... 그냥 그래...,0,0,0
조걸이 멋있다!!,0,0,0
애들 유전자 분배 무슨 일이야,0,0,0
조걸의 꿈(다음!말하기)성공,1,0,1
와 너무 질질끄는데 팬층이 두터워서 그런가 그런말이 하나도 없네ㅋㅋㅋㅋㅋㅋ,10,4,6
"""다음!""캬ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ",1,0,1
아니 이양반들은 왜 자꾸 네이버에서 다음을 찾아,2,0,2
이번화 소설로는 몇화인가요,0,0,0
안돼...!걸아!!,0,0,0
128화 별점 OOO났으니다음화에 과거 회귀 하면 원상 복구 될듯?,1,0,1
꽁꽁 얼어붙은 비도위로 조걸이 걸어다닙니다.,0,0,0
이번화 소설로는 몇화 인가요,0,0,0
그렇게 조걸은 후지토라의 대를잇는 맹인검객으로 명성을 떨치게 되는데.....,0,0,0
다아아아아아아아음~!!!!!,0,0,0
당잔 미쳤나 !!( っ꒪⌓꒪)っ—̳͟͞͞♡,0,0,0
애쉬 스킬 아님?,0,0,0
이 시점엔 청명 경지가 어느정도 인가요?,0,0,0
작가님 실수로 좀 더 주셔도 괜찮아여~,0,0,0
순간 당진의 머리속을 채운'존재하지 않는 기억',0,0,0
작화 영 별로네.,1,3,-2
칼등으로 쳤다...(양날검),0,0,0
요즘 화산귀환 좀 재미없다.,3,2,1
마지막 개 무섭네 미틴,0,0,0
아아아악 다음편 ㅠㅠㅠㅠㅠㅠㅠ너무 재밌어 ㅠㅠ,0,0,0
대으음..화..내놔...,0,0,0
당씨 남자들 관심1도 없고 당소소 내놔,11,4,7
어이쿠 무서워라,0,0,0
네이버에서 다음을 논하다니...이런 역작이 있나...작가님 다음화 주세요..다음!,0,0,0
막컷 나쁜놈 흥분했구나ㅎㅎ 이녀석 조걸한테 뒤지실라고 청명이가 그리 소리질러 가르쳐주면 엿듣고 니도 따라했어야지 어이구 잘가,0,0,0
저 다음 어디서 봤던거같은데...,1,0,1
조걸 눈뽕 당하냐,0,0,0
"아니 자기도 화종지회때 ""다음' 했으면어 ""대으음~대으음~"" 이러는 거 뭔뎈ㅋㅋㅋㅋ",0,0,0
ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋ 당가 사파냐구요 마지막에 표정 왜저래 ㅋㅋㅋㅋㅋㅋㅋ,0,0,0
다으으음? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
괜찮아 장님 조걸도 맛 아니 멋있어,0,0,0
거참 말 많네...ㅜㅜ 이번화에서 어떻게든 중간까지는 갈줄 알았는데...ㅠㅠ,2,0,2
저 다섯째아들 리타이어 당하고 둘째~넷째 궁시렁거리면서 출동할듯 ㅋㅋㅋ,0,0,0
하 존잼...,1,0,1
아니...왜 여기서 끝날까...쿠키 아껴야 하는데..,0,0,0
걸이 멋져졌구나,1,0,1
진짜 작가야 대체 스토리 진행속도가 왜 이래? 내가 관속에 들어가도 완결 안나오겠다,7,4,3
'영웅은 죽지않아...'위험하면 청명이가 검풍 날려 줄거임 ㅇㅇ 그럴거임,1,0,1
조걸 라식,1,0,1
화산오검 청명 백천 이설 윤종 조로,0,0,0
처내깃 뭘 쳐내 샥 피하면 되지,0,0,0
이걸 여기서 끊어버리네,0,0,0
근데 동룡아 너도 청명이한테는 그 제자둘중 하나야..ㅋㅋ,0,0,0
마지막 얼빡샷 냠냠,0,0,0
진짜 이상한 타이밍에서 끊는 못된 버릇이 있네?,2,0,2
이번화 미치겠다 보면서 발로 박수침,0,0,0
저때 청명이가 구해주면 조켓다..,0,0,0
대음,0,0,0
나는 이 다음을 알아서...,1,0,1
쾌걸조걸,0,0,0
당후루 마렵누,0,0,0
휴재 빼고 백 년 지나도 완결 못 낼 듯,3,0,3
웹툰도 원작마냥 질질 끄네,0,0,0
지금까지 조걸을 사랑해주셔서 감사합니다,0,0,0
이때까지 보먄서 우리 동룡이가 광견을 그나마..제일 많이 따라갔다고 생각했는데 조걸은 상상이상인데,0,0,0
"조걸, 죽다",0,0,0
이것은 일종에 피구인가요,0,0,0
아니 같은기간 수련한 넘들을 보내야지...웃기는게... 이쪽은 수습인데..저쪽은 전문가가 나와서 조금 우세한듯하니까 피식..하고 웃어? 머저린가...,2,0,2
절대(네이ㅂ)와 다음(ㅇㅅㅇ 다우 읍읍으읍)의 대결인가,0,2,-2
다음!화,1,0,1
청명이 대으음~~할 때 오ㅑ케 포X몬 댄스같냐ㅋㄱㅋㄱㅋㄱㅋㅋ,1,1,0
🥲,0,0,0
성이 당씨라 당한것이다,1144,40,1104
걸이에게서 청명이가 보였습니다.,0,1,-1
남의집에 위험하게 바늘을 뿌리고 그래 왜너네 그거 다 줍고가라,1,0,1
ㅋㅋ 사천당가는 죽일려고 작정하는데 조걸은 검면으로 치네 하 진짜 죽여버령,0,0,0
팔 하나 못쓰게 하려다 나락갓구만 그래,0,0,0
"조걸 잘보니까 칠성보도 썼네ㅋㅋㅋㅋ 이제는 어느정도 짬 찼다고, 예전이랑 다르게 욕 안먹는거 보니 웃기다",1,0,1
진도좀 빠르게 가져가도될듯,2,3,-1
성이 당씨라 당한것이다.,1,1,0
진도 좀 ㅡ,0,1,-1
ㅋㅋ 어차피 당가 놈이 대가리 깨지갰지,0,0,0
자 파란점 보이시죠? 눈 감지 말고 그 파란점을 바라보셔야 합니다,0,0,0
답답해서 소설로 넘어감,0,0,0
카무이!,0,0,0
청명아 지금이니!?,0,0,0
조걸-완-,0,3,-3
사천당가는 唐 이에요,0,0,0
쪼개기는,0,0,0
